x, RHO_s, V_s, P_s, RHO_g, V_g, P_g, PHI_s
-4.987500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.962500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.937500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.912500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.887500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.862500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.837500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.812500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.787500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.762500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.737500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.712500e-01,8.000000e+02,0.000000e+00,5.000000e+02,1.500000e+00,0.000000e+00,2.000000e+00,4.000000e-01
-4.687500e-01,8.000000e+02,7.066180e-173,5.000000e+02,1.500000e+00,3.909012e-171,2.000000e+00,4.000000e-01
-4.662500e-01,8.000000e+02,5.564820e-170,5.000000e+02,1.500000e+00,2.507489e-168,2.000000e+00,4.000000e-01
