x, RHO_s, V_s, P_s, RHO_g, V_g, P_g, PHI_s
-4.987500e-01,1.000000e+00,-4.485154e-160,1.000000e+00,5.000000e-01,-4.875328e-154,1.000000e+00,4.000000e-01
-4.962500e-01,1.000000e+00,-1.625005e-158,1.000000e+00,5.000000e-01,-2.121884e-152,1.000000e+00,4.000000e-01
-4.937500e-01,1.000000e+00,-6.071323e-157,1.000000e+00,5.000000e-01,-9.376548e-151,1.000000e+00,4.000000e-01
-4.912500e-01,1.000000e+00,-2.220681e-155,1.000000e+00,5.000000e-01,-4.041902e-149,1.000000e+00,4.000000e-01
-4.887500e-01,1.000000e+00,-7.955311e-154,1.000000e+00,5.000000e-01,-1.705431e-147,1.000000e+00,4.000000e-01
-4.862500e-01,1.000000e+00,-2.790850e-152,1.000000e+00,5.000000e-01,-7.063863e-146,1.000000e+00,4.000000e-01
-4.837500e-01,1.000000e+00,-9.586859e-151,1.000000e+00,5.000000e-01,-2.880064e-144,1.000000e+00,4.000000e-01
-4.812500e-01,1.000000e+00,-3.224428e-149,1.000000e+00,5.000000e-01,-1.158854e-142,1.000000e+00,4.000000e-01
-4.787500e-01,1.000000e+00,-1.061873e-147,1.000000e+00,5.000000e-01,-4.612483e-141,1.000000e+00,4.000000e-01
-4.762500e-01,1.000000e+00,-3.424350e-146,1.000000e+00,5.000000e-01,-1.819676e-139,1.000000e+00,4.000000e-01
-4.737500e-01,1.000000e+00,-1.081557e-144,1.000000e+00,5.000000e-01,-7.126620e-138,1.000000e+00,4.000000e-01
-4.712500e-01,1.000000e+00,-3.346596e-143,1.000000e+00,5.000000e-01,-2.773457e-136,1.000000e+00,4.000000e-01
-4.687500e-01,1.000000e+00,-1.014834e-141,1.000000e+00,5.000000e-01,-1.072809e-134,1.000000e+00,4.000000e-01
-4.662500e-01,1.000000e+00,-3.017262e-140,1.000000e+00,5.000000e-01,-4.122860e-133,1.000000e+00,4.000000e-01
-4.637500e-01,1.000000e+00,-8.799936e-139,1.000000e+00,5.000000e-01,-1.572629e-131,1.000000e+00,4.000000e-01
-4.612500e-01,1.000000e+00,-2.519097e-137,1.000000e+00,5.000000e-01,-5.946671e-130,1.000000e+00,4.000000e-01
-4.587500e-01,1.000000e+00,-7.082455e-136,1.000000e+00,5.000000e-01,-2.226739e-128,1.000000e+00,4.000000e-01
-4.562500e-01,1.000000e+00,-1.956996e-134,1.000000e+00,5.000000e-01,-8.252113e-127,1.000000e+00,4.000000e-01
-4.537500e-01,1.000000e+00,-5.318252e-133,1.000000e+00,5.000000e-01,-3.027326e-125,1.000000e+00,4.000000e-01
-4.512500e-01,1.000000e+00,-1.422426e-131,1.000000e+00,5.000000e-01,-1.100602e-123,1.000000e+00,4.000000e-01
-4.487500e-01,1.000000e+00,-3.746925e-130,1.000000e+00,5.000000e-01,-3.972567e-122,1.000000e+00,4.000000e-01
-4.462500e-01,1.000000e+00,-9.727314e-129,1.000000e+00,5.000000e-01,-1.426649e-120,1.000000e+00,4.000000e-01
-4.437500e-01,1.000000e+00,-2.490269e-127,1.000000e+00,5.000000e-01,-5.107465e-119,1.000000e+00,4.000000e-01
-4.412500e-01,1.000000e+00,-6.290215e-126,1.000000e+00,5.000000e-01,-1.824862e-117,1.000000e+00,4.000000e-01
-4.387500e-01,1.000000e+00,-1.568354e-124,1.000000e+00,5.000000e-01,-6.506835e-116,1.000000e+00,4.000000e-01
-4.362500e-01,1.000000e+00,-3.861342e-123,1.000000e+00,5.000000e-01,-2.312299e-114,1.000000e+00,4.000000e-01
-4.337500e-01,1.000000e+00,-9.390101e-122,1.000000e+00,5.000000e-01,-8.169616e-113,1.000000e+00,4.000000e-01
-4.312500e-01,1.000000e+00,-2.255985e-120,1.000000e+00,5.000000e-01,-2.860894e-111,1.000000e+00,4.000000e-01
-4.287500e-01,1.000000e+00,-5.355715e-119,1.000000e+00,5.000000e-01,-9.897467e-110,1.000000e+00,4.000000e-01
-4.262500e-01,1.000000e+00,-1.256587e-117,1.000000e+00,5.000000e-01,-3.372548e-108,1.000000e+00,4.000000e-01
-4.237500e-01,1.000000e+00,-2.914398e-116,1.000000e+00,5.000000e-01,-1.129145e-106,1.000000e+00,4.000000e-01
-4.212500e-01,1.000000e+00,-6.683332e-115,1.000000e+00,5.000000e-01,-3.708505e-105,1.000000e+00,4.000000e-01
-4.187500e-01,1.000000e+00,-1.515850e-113,1.000000e+00,5.000000e-01,-1.194038e-103,1.000000e+00,4.000000e-01
-4.162500e-01,1.000000e+00,-3.401691e-112,1.000000e+00,5.000000e-01,-3.770226e-102,1.000000e+00,4.000000e-01
-4.137500e-01,1.000000e+00,-7.555917e-111,1.000000e+00,5.000000e-01,-1.169137e-100,1.000000e+00,4.000000e-01
-4.112500e-01,1.000000e+00,-1.661975e-109,1.000000e+00,5.000000e-01,-3.569296e-99,1.000000e+00,4.000000e-01
-4.087500e-01,1.000000e+00,-3.621600e-108,1.000000e+00,5.000000e-01,-1.076427e-97,1.000000e+00,4.000000e-01
-4.062500e-01,1.000000e+00,-7.821639e-107,1.000000e+00,5.000000e-01,-3.219598e-96,1.000000e+00,4.000000e-01
-4.037500e-01,1.000000e+00,-1.674857e-105,1.000000e+00,5.000000e-01,-9.589255e-95,1.000000e+00,4.000000e-01
-4.012500e-01,1.000000e+00,-3.556897e-104,1.000000e+00,5.000000e-01,-2.853497e-93,1.000000e+00,4.000000e-01
-3.987500e-01,1.000000e+00,-7.493334e-103,1.000000e+00,5.000000e-01,-8.499339e-92,1.000000e+00,4.000000e-01
-3.962500e-01,1.000000e+00,-1.566222e-101,1.000000e+00,5.000000e-01,-2.533998e-90,1.000000e+00,4.000000e-01
-3.937500e-01,1.000000e+00,-3.248204e-100,1.000000e+00,5.000000e-01,-7.549688e-89,1.000000e+00,4.000000e-01
-3.912500e-01,1.000000e+00,-6.684454e-99,1.000000e+00,5.000000e-01,-2.242214e-87,1.000000e+00,4.000000e-01
-3.887500e-01,1.000000e+00,-1.365015e-97,1.000000e+00,5.000000e-01,-6.622817e-86,1.000000e+00,4.000000e-01
-3.862500e-01,1.000000e+00,-2.766190e-96,1.000000e+00,5.000000e-01,-1.942754e-84,1.000000e+00,4.000000e-01
-3.837500e-01,1.000000e+00,-5.563410e-95,1.000000e+00,5.000000e-01,-5.658470e-83,1.000000e+00,4.000000e-01
-3.812500e-01,1.000000e+00,-1.110660e-93,1.000000e+00,5.000000e-01,-1.637397e-81,1.000000e+00,4.000000e-01
-3.787500e-01,1.000000e+00,-2.201379e-92,1.000000e+00,5.000000e-01,-4.711108e-80,1.000000e+00,4.000000e-01
-3.762500e-01,1.000000e+00,-4.333080e-91,1.000000e+00,5.000000e-01,-1.348024e-78,1.000000e+00,4.000000e-01
-3.737500e-01,1.000000e+00,-8.472511e-90,1.000000e+00,5.000000e-01,-3.832827e-77,1.000000e+00,4.000000e-01
-3.712500e-01,1.000000e+00,-1.646122e-88,1.000000e+00,5.000000e-01,-1.080895e-75,1.000000e+00,4.000000e-01
-3.687500e-01,1.000000e+00,-3.178659e-87,1.000000e+00,5.000000e-01,-3.016091e-74,1.000000e+00,4.000000e-01
-3.662500e-01,1.000000e+00,-6.101191e-86,1.000000e+00,5.000000e-01,-8.309292e-73,1.000000e+00,4.000000e-01
-3.637500e-01,1.000000e+00,-1.164070e-84,1.000000e+00,5.000000e-01,-2.258053e-71,1.000000e+00,4.000000e-01
-3.612500e-01,1.000000e+00,-2.207438e-83,1.000000e+00,5.000000e-01,-6.059797e-70,1.000000e+00,4.000000e-01
-3.587500e-01,1.000000e+00,-4.159580e-82,1.000000e+00,5.000000e-01,-1.611910e-68,1.000000e+00,4.000000e-01
-3.562500e-01,1.000000e+00,-7.786496e-81,1.000000e+00,5.000000e-01,-4.274689e-67,1.000000e+00,4.000000e-01
-3.537500e-01,1.000000e+00,-1.447578e-79,1.000000e+00,5.000000e-01,-1.137417e-65,1.000000e+00,4.000000e-01
-3.512500e-01,1.000000e+00,-2.672019e-78,1.000000e+00,5.000000e-01,-3.050554e-64,1.000000e+00,4.000000e-01
-3.487500e-01,1.000000e+00,-4.896093e-77,1.000000e+00,5.000000e-01,-8.252765e-63,1.000000e+00,4.000000e-01
-3.462500e-01,1.000000e+00,-8.904528e-76,1.000000e+00,5.000000e-01,-2.244180e-61,1.000000e+00,4.000000e-01
-3.437500e-01,1.000000e+00,-1.607213e-74,1.000000e+00,5.000000e-01,-6.095992e-60,1.000000e+00,4.000000e-01
-3.412500e-01,1.000000e+00,-2.878618e-73,1.000000e+00,5.000000e-01,-1.643044e-58,1.000000e+00,4.000000e-01
