x, RHO_s, V_s, P_s, RHO_g, V_g, P_g, PHI_s
-4.987500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.974595e-152,1.000000e+00,9.000000e-01
-4.962500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,3.590049e-151,1.000000e+00,9.000000e-01
-4.937500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,7.147046e-150,1.000000e+00,9.000000e-01
-4.912500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.409668e-148,1.000000e+00,9.000000e-01
-4.887500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.759827e-147,1.000000e+00,9.000000e-01
-4.862500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,5.363662e-146,1.000000e+00,9.000000e-01
-4.837500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.034865e-144,1.000000e+00,9.000000e-01
-4.812500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.982335e-143,1.000000e+00,9.000000e-01
-4.787500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,3.770256e-142,1.000000e+00,9.000000e-01
-4.762500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,7.120230e-141,1.000000e+00,9.000000e-01
-4.737500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.335294e-139,1.000000e+00,9.000000e-01
-4.712500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.486852e-138,1.000000e+00,9.000000e-01
-4.687500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,4.599864e-137,1.000000e+00,9.000000e-01
-4.662500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,8.450730e-136,1.000000e+00,9.000000e-01
-4.637500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.542166e-134,1.000000e+00,9.000000e-01
-4.612500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.795696e-133,1.000000e+00,9.000000e-01
-4.587500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,5.035078e-132,1.000000e+00,9.000000e-01
-4.562500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,9.009819e-131,1.000000e+00,9.000000e-01
-4.537500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.601980e-129,1.000000e+00,9.000000e-01
-4.512500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.830534e-128,1.000000e+00,9.000000e-01
-4.487500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,4.970383e-127,1.000000e+00,9.000000e-01
-4.462500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,8.674877e-126,1.000000e+00,9.000000e-01
-4.437500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.504985e-124,1.000000e+00,9.000000e-01
-4.412500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.595621e-123,1.000000e+00,9.000000e-01
-4.387500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,4.450804e-122,1.000000e+00,9.000000e-01
-4.362500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,7.588792e-121,1.000000e+00,9.000000e-01
-4.337500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.286753e-119,1.000000e+00,9.000000e-01
-4.312500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.169996e-118,1.000000e+00,9.000000e-01
-4.287500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,3.640139e-117,1.000000e+00,9.000000e-01
-4.262500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,6.074729e-116,1.000000e+00,9.000000e-01
-4.237500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.008648e-114,1.000000e+00,9.000000e-01
-4.212500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.666508e-113,1.000000e+00,9.000000e-01
-4.187500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.740173e-112,1.000000e+00,9.000000e-01
-4.162500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,4.484278e-111,1.000000e+00,9.000000e-01
-4.137500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,7.304381e-110,1.000000e+00,9.000000e-01
-4.112500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.184327e-108,1.000000e+00,9.000000e-01
-4.087500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.911458e-107,1.000000e+00,9.000000e-01
-4.062500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,3.070811e-106,1.000000e+00,9.000000e-01
-4.037500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,4.910314e-105,1.000000e+00,9.000000e-01
-4.012500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,7.814219e-104,1.000000e+00,9.000000e-01
-3.987500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.237410e-102,1.000000e+00,9.000000e-01
-3.962500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.949411e-101,1.000000e+00,9.000000e-01
-3.937500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,3.054543e-100,1.000000e+00,9.000000e-01
-3.912500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,4.758976e-99,1.000000e+00,9.000000e-01
-3.887500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,7.369902e-98,1.000000e+00,9.000000e-01
-3.862500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.134055e-96,1.000000e+00,9.000000e-01
-3.837500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.733270e-95,1.000000e+00,9.000000e-01
-3.812500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.630196e-94,1.000000e+00,9.000000e-01
-3.787500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,3.961242e-93,1.000000e+00,9.000000e-01
-3.762500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,5.918789e-92,1.000000e+00,9.000000e-01
-3.737500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,8.770832e-91,1.000000e+00,9.000000e-01
-3.712500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.288606e-89,1.000000e+00,9.000000e-01
-3.687500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.876544e-88,1.000000e+00,9.000000e-01
-3.662500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.708161e-87,1.000000e+00,9.000000e-01
-3.637500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,3.872767e-86,1.000000e+00,9.000000e-01
-3.612500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,5.487797e-85,1.000000e+00,9.000000e-01
-3.587500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,7.706494e-84,1.000000e+00,9.000000e-01
-3.562500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.072785e-82,1.000000e+00,9.000000e-01
-3.537500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.480996e-81,1.000000e+00,9.000000e-01
-3.512500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.028857e-80,1.000000e+00,9.000000e-01
-3.487500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.760378e-79,1.000000e+00,9.000000e-01
-3.462500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,3.733927e-78,1.000000e+00,9.000000e-01
-3.437500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,5.028068e-77,1.000000e+00,9.000000e-01
-3.412500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,6.750256e-76,1.000000e+00,9.000000e-01
-3.387500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,9.049768e-75,1.000000e+00,9.000000e-01
-3.362500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.213680e-73,1.000000e+00,9.000000e-01
-3.337500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.631052e-72,1.000000e+00,9.000000e-01
-3.312500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.199963e-71,1.000000e+00,9.000000e-01
-3.287500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.982015e-70,1.000000e+00,9.000000e-01
-3.262500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,4.065880e-69,1.000000e+00,9.000000e-01
-3.237500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,5.580183e-68,1.000000e+00,9.000000e-01
-3.212500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,7.713964e-67,1.000000e+00,9.000000e-01
-3.187500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.074252e-65,1.000000e+00,9.000000e-01
-3.162500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,1.503216e-64,1.000000e+00,9.000000e-01
-3.137500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.101898e-63,1.000000e+00,9.000000e-01
-3.112500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,2.943100e-62,1.000000e+00,9.000000e-01
-3.087500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,4.219120e-61,1.000000e+00,9.000000e-01
-3.062500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,6.283258e-60,1.000000e+00,9.000000e-01
-3.037500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,8.386821e-59,1.000000e+00,9.000000e-01
-3.012500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,4.181309e-58,1.000000e+00,9.000000e-01
-2.987500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.822649e-57,1.000000e+00,9.000000e-01
-2.962500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-8.028657e-56,1.000000e+00,9.000000e-01
-2.937500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.536020e-54,1.000000e+00,9.000000e-01
-2.912500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-2.460125e-53,1.000000e+00,9.000000e-01
-2.887500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-3.668696e-52,1.000000e+00,9.000000e-01
-2.862500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-5.283760e-51,1.000000e+00,9.000000e-01
-2.837500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-7.465168e-50,1.000000e+00,9.000000e-01
-2.812500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.042304e-48,1.000000e+00,9.000000e-01
-2.787500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.443426e-47,1.000000e+00,9.000000e-01
-2.762500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.986350e-46,1.000000e+00,9.000000e-01
-2.737500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-2.718995e-45,1.000000e+00,9.000000e-01
-2.712500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-3.704150e-44,1.000000e+00,9.000000e-01
-2.687500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-5.023964e-43,1.000000e+00,9.000000e-01
-2.662500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-6.786073e-42,1.000000e+00,9.000000e-01
-2.637500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-9.132218e-41,1.000000e+00,9.000000e-01
-2.612500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.225042e-39,1.000000e+00,9.000000e-01
-2.587500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.639145e-38,1.000000e+00,9.000000e-01
-2.562500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-2.188918e-37,1.000000e+00,9.000000e-01
-2.537500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-2.918226e-36,1.000000e+00,9.000000e-01
-2.512500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-3.883260e-35,1.000000e+00,9.000000e-01
-2.487500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-5.153701e-34,1.000000e+00,9.000000e-01
-2.462500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-6.813844e-33,1.000000e+00,9.000000e-01
-2.437500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-8.966592e-32,1.000000e+00,9.000000e-01
-2.412500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.174601e-30,1.000000e+00,9.000000e-01
-2.387500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.534467e-29,1.000000e+00,9.000000e-01
-2.362500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-2.005655e-28,1.000000e+00,9.000000e-01
-2.337500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-2.632432e-27,1.000000e+00,9.000000e-01
-2.312500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-3.475536e-26,1.000000e+00,9.000000e-01
-2.287500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-4.606277e-25,1.000000e+00,9.000000e-01
-2.262500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-6.094237e-24,1.000000e+00,9.000000e-01
-2.237500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-7.995248e-23,1.000000e+00,9.000000e-01
-2.212500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.034616e-21,1.000000e+00,9.000000e-01
-2.187500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.308968e-20,1.000000e+00,9.000000e-01
-2.162500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.616638e-19,1.000000e+00,9.000000e-01
-2.137500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.986269e-18,1.000000e+00,9.000000e-01
-2.112500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-2.417157e-17,1.000000e+00,9.000000e-01
-2.087500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-2.847467e-16,1.000000e+00,9.000000e-01
-2.062500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.733890e-15,1.000000e+00,9.000000e-01
-2.037500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-7.941105e-15,1.000000e+00,9.000000e-01
-2.012500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-2.956462e-14,1.000000e+00,9.000000e-01
-1.987500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.047698e-13,1.000000e+00,9.000000e-01
-1.962500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-3.619689e-13,1.000000e+00,9.000000e-01
-1.937500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.229287e-12,1.000000e+00,9.000000e-01
-1.912500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-4.100603e-12,1.000000e+00,9.000000e-01
-1.887500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.345063e-11,1.000000e+00,9.000000e-01
-1.862500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-4.338065e-11,1.000000e+00,9.000000e-01
-1.837500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.375730e-10,1.000000e+00,9.000000e-01
-1.812500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-4.289988e-10,1.000000e+00,9.000000e-01
-1.787500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.315343e-09,1.000000e+00,9.000000e-01
-1.762500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-3.965152e-09,1.000000e+00,9.000000e-01
-1.737500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-1.175154e-08,1.000000e+00,9.000000e-01
-1.712500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-3.423925e-08,1.000000e+00,9.000000e-01
-1.687500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-9.806909e-08,1.000000e+00,9.000000e-01
-1.662500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000000e+00,-2.761278e-07,1.000000e+00,9.000000e-01
-1.637500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000001e+00,-7.642908e-07,1.000001e+00,9.000000e-01
-1.612500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000002e+00,-2.079650e-06,1.000002e+00,9.000000e-01
-1.587500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000005e+00,-5.563296e-06,1.000007e+00,9.000000e-01
-1.562500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000012e+00,-1.463282e-05,1.000017e+00,9.000000e-01
-1.537500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000032e+00,-3.784771e-05,1.000045e+00,9.000000e-01
-1.512500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000081e+00,-9.628160e-05,1.000114e+00,9.000000e-01
-1.487500e-01,1.000000e+00,9.000000e-01,2.500000e+00,1.000204e+00,-2.409444e-04,1.000285e+00,9.000000e-01
-1.462500e-01,9.999999e-01,9.000001e-01,2.500000e+00,1.000501e+00,-5.931994e-04,1.000702e+00,9.000000e-01
-1.437500e-01,9.999998e-01,9.000003e-01,2.499999e+00,1.001214e+00,-1.436484e-03,1.001701e+00,9.000000e-01
-1.412500e-01,9.999996e-01,9.000008e-01,2.499999e+00,1.002891e+00,-3.417947e-03,1.004050e+00,9.000000e-01
-1.387500e-01,9.999990e-01,9.000019e-01,2.499996e+00,1.006745e+00,-7.967133e-03,1.009461e+00,9.000000e-01
-1.362500e-01,9.999976e-01,9.000045e-01,2.499992e+00,1.015327e+00,-1.806339e-02,1.021551e+00,9.000000e-01
-1.337500e-01,9.999944e-01,9.000105e-01,2.499980e+00,1.033404e+00,-3.915932e-02,1.047193e+00,9.000000e-01
-1.312500e-01,9.999875e-01,9.000235e-01,2.499956e+00,1.067174e+00,-7.775535e-02,1.095559e+00,9.000000e-01
