x, RHO_s, V_s, P_s, RHO_g, V_g, P_g, PHI_s
-4.987500e-01,1.900000e+03,-2.036001e-15,1.000000e+01,2.000000e+00,1.624405e-80,3.000000e+00,2.000000e-01
-4.962500e-01,1.900000e+03,-1.832740e-15,1.000000e+01,2.000000e+00,1.700186e-79,3.000000e+00,2.000000e-01
-4.937500e-01,1.900000e+03,-1.604581e-15,1.000000e+01,2.000000e+00,2.085383e-78,3.000000e+00,2.000000e-01
-4.912500e-01,1.900000e+03,-1.370585e-15,1.000000e+01,2.000000e+00,2.544999e-77,3.000000e+00,2.000000e-01
-4.887500e-01,1.900000e+03,-1.170775e-15,1.000000e+01,2.000000e+00,3.099296e-76,3.000000e+00,2.000000e-01
-4.862500e-01,1.900000e+03,-1.097242e-15,1.000000e+01,2.000000e+00,3.764279e-75,3.000000e+00,2.000000e-01
-4.837500e-01,1.900000e+03,-1.029230e-15,1.000000e+01,2.000000e+00,4.556583e-74,3.000000e+00,2.000000e-01
-4.812500e-01,1.900000e+03,-9.032859e-16,1.000000e+01,2.000000e+00,5.493522e-73,3.000000e+00,2.000000e-01
-4.787500e-01,1.900000e+03,-7.442614e-16,1.000000e+01,2.000000e+00,6.592909e-72,3.000000e+00,2.000000e-01
-4.762500e-01,1.900000e+03,-5.984344e-16,1.000000e+01,2.000000e+00,7.873155e-71,3.000000e+00,2.000000e-01
-4.737500e-01,1.900000e+03,-4.615355e-16,1.000000e+01,2.000000e+00,9.353857e-70,3.000000e+00,2.000000e-01
-4.712500e-01,1.900000e+03,-3.619339e-16,1.000000e+01,2.000000e+00,1.105708e-68,3.000000e+00,2.000000e-01
-4.687500e-01,1.900000e+03,-3.819538e-16,1.000000e+01,2.000000e+00,1.300950e-67,3.000000e+00,2.000000e-01
-4.662500e-01,1.900000e+03,-1.115392e-15,1.000000e+01,2.000000e+00,1.524548e-66,3.000000e+00,2.000000e-01
-4.637500e-01,1.900000e+03,-4.006142e-15,1.000000e+01,2.000000e+00,1.781104e-65,3.000000e+00,2.000000e-01
-4.612500e-01,1.900000e+03,-1.225922e-14,1.000000e+01,2.000000e+00,2.076846e-64,3.000000e+00,2.000000e-01
-4.587500e-01,1.900000e+03,-3.575657e-14,1.000000e+01,2.000000e+00,2.420138e-63,3.000000e+00,2.000000e-01
-4.562500e-01,1.900000e+03,-1.004159e-13,1.000000e+01,2.000000e+00,2.821982e-62,3.000000e+00,2.000000e-01
-4.537500e-01,1.900000e+03,-2.756847e-13,1.000000e+01,2.000000e+00,3.296518e-61,3.000000e+00,2.000000e-01
-4.512500e-01,1.900000e+03,-7.468554e-13,1.000000e+01,2.000000e+00,3.861491e-60,3.000000e+00,2.000000e-01
-4.487500e-01,1.900000e+03,-2.004737e-12,1.000000e+01,2.000000e+00,4.538701e-59,3.000000e+00,2.000000e-01
-4.462500e-01,1.900000e+03,-5.331815e-12,1.000000e+01,2.000000e+00,5.354384e-58,3.000000e+00,2.000000e-01
-4.437500e-01,1.900000e+03,-1.405259e-11,1.000000e+01,2.000000e+00,6.339393e-57,3.000000e+00,2.000000e-01
-4.412500e-01,1.900000e+03,-3.672101e-11,1.000000e+01,2.000000e+00,7.528888e-56,3.000000e+00,2.000000e-01
-4.387500e-01,1.900000e+03,-9.514849e-11,1.000000e+01,2.000000e+00,8.961009e-55,3.000000e+00,2.000000e-01
-4.362500e-01,1.900000e+03,-2.444834e-10,1.000000e+01,2.000000e+00,1.067387e-53,3.000000e+00,2.000000e-01
-4.337500e-01,1.900000e+03,-6.230569e-10,1.000000e+01,2.000000e+00,1.270020e-52,3.000000e+00,2.000000e-01
-4.312500e-01,1.900000e+03,-1.575072e-09,1.000001e+01,2.000000e+00,1.505932e-51,3.000000e+00,2.000000e-01
-4.287500e-01,1.900000e+03,-3.950411e-09,1.000002e+01,2.000000e+00,1.774682e-50,3.000000e+00,2.000000e-01
-4.262500e-01,1.900000e+03,-9.831829e-09,1.000004e+01,2.000000e+00,2.072332e-49,3.000000e+00,2.000000e-01
-4.237500e-01,1.900000e+03,-2.428659e-08,1.000011e+01,2.000000e+00,2.390491e-48,3.000000e+00,2.000000e-01
-4.212500e-01,1.900000e+03,-5.955760e-08,1.000026e+01,2.000000e+00,2.715822e-47,3.000000e+00,2.000000e-01
-4.187500e-01,1.900000e+03,-1.450289e-07,1.000064e+01,2.000000e+00,3.030342e-46,3.000000e+00,2.000000e-01
-4.162500e-01,1.900000e+03,-3.507814e-07,1.000155e+01,2.000000e+00,3.312696e-45,3.000000e+00,2.000000e-01
-4.137500e-01,1.900001e+03,-8.429718e-07,1.000372e+01,2.000000e+00,3.540392e-44,3.000000e+00,2.000000e-01
-4.112500e-01,1.900002e+03,-2.013382e-06,1.000888e+01,2.000000e+00,3.692714e-43,3.000000e+00,2.000000e-01
-4.087500e-01,1.900004e+03,-4.781138e-06,1.002108e+01,2.000000e+00,3.753826e-42,3.000000e+00,2.000000e-01
-4.062500e-01,1.900009e+03,-1.129267e-05,1.004979e+01,2.000000e+00,3.715432e-41,3.000000e+00,2.000000e-01
-4.037500e-01,1.900022e+03,-2.653998e-05,1.011701e+01,2.000000e+00,3.578413e-40,3.000000e+00,2.000000e-01
-4.012500e-01,1.900051e+03,-6.209049e-05,1.027375e+01,2.000000e+00,3.353062e-39,3.000000e+00,2.000000e-01
-3.987500e-01,1.900118e+03,-1.446569e-04,1.063780e+01,2.000000e+00,3.057775e-38,3.000000e+00,2.000000e-01
-3.962500e-01,1.900275e+03,-3.357134e-04,1.148033e+01,2.000000e+00,2.716419e-37,3.000000e+00,2.000000e-01
-3.937500e-01,1.900635e+03,-7.761222e-04,1.342310e+01,2.000000e+00,2.354784e-36,3.000000e+00,2.000000e-01
-3.912500e-01,1.901463e+03,-1.786525e-03,1.788363e+01,2.000000e+00,1.997033e-35,3.000000e+00,2.000000e-01
-3.887500e-01,1.903346e+03,-4.086916e-03,2.805629e+01,2.000000e+00,1.662851e-34,3.000000e+00,2.000000e-01
-3.862500e-01,1.907577e+03,-9.259016e-03,5.101573e+01,2.000000e+00,1.366982e-33,3.000000e+00,2.000000e-01
-3.837500e-01,1.916785e+03,-2.052117e-02,1.014245e+02,2.000000e+00,1.120009e-32,3.000000e+00,2.000000e-01
-3.812500e-01,1.935681e+03,-4.365300e-02,2.066869e+02,2.000000e+00,9.327734e-32,3.000000e+00,2.000000e-01
-3.787500e-01,1.960749e+03,-7.443567e-02,3.494475e+02,2.000000e+00,8.154299e-31,3.000000e+00,2.000000e-01
-3.762500e-01,1.984361e+03,-1.032358e-01,4.869420e+02,2.000000e+00,7.734876e-30,3.000000e+00,2.000000e-01
-3.737500e-01,1.998825e+03,-1.210358e-01,5.728908e+02,2.000000e+00,7.332969e-29,3.000000e+00,2.000000e-01
-3.712500e-01,2.012499e+03,-1.377425e-01,6.551543e+02,2.000000e+00,5.501898e-28,3.000000e+00,2.000000e-01
-3.687500e-01,2.020031e+03,-1.470469e-01,7.009489e+02,2.000000e+00,1.208584e-27,3.000000e+00,2.000000e-01
-3.662500e-01,2.027107e+03,-1.556565e-01,7.442701e+02,2.000000e+00,-9.441526e-27,3.000000e+00,2.000000e-01
-3.637500e-01,2.030752e+03,-1.601449e-01,7.666594e+02,2.000000e+00,-2.051126e-25,3.000000e+00,2.000000e-01
-3.612500e-01,2.034189e+03,-1.643348e-01,7.879063e+02,2.000000e+00,-2.717282e-24,3.000000e+00,2.000000e-01
-3.587500e-01,2.035896e+03,-1.664472e-01,7.984278e+02,2.000000e+00,-3.141234e-23,3.000000e+00,2.000000e-01
-3.562500e-01,2.037510e+03,-1.684158e-01,8.084632e+02,2.000000e+00,-3.386726e-22,3.000000e+00,2.000000e-01
-3.537500e-01,2.038297e+03,-1.693810e-01,8.133116e+02,2.000000e+00,-3.632279e-21,3.000000e+00,2.000000e-01
-3.512500e-01,2.039035e+03,-1.702815e-01,8.179262e+02,2.000000e+00,-4.010253e-20,3.000000e+00,2.000000e-01
-3.487500e-01,2.039388e+03,-1.707147e-01,8.200884e+02,2.000000e+00,-4.395741e-19,3.000000e+00,2.000000e-01
-3.462500e-01,2.039713e+03,-1.711177e-01,8.221440e+02,2.000000e+00,-4.286271e-18,3.000000e+00,2.000000e-01
-3.437500e-01,2.039868e+03,-1.713057e-01,8.230817e+02,2.000000e+00,-3.533333e-17,3.000000e+00,2.000000e-01
-3.412500e-01,2.040008e+03,-1.714786e-01,8.239757e+02,2.000000e+00,-2.619452e-16,3.000000e+00,2.000000e-01
-3.387500e-01,2.040074e+03,-1.715562e-01,8.243656e+02,2.000000e+00,-1.048056e-15,3.000000e+00,2.000000e-01
-3.362500e-01,2.040128e+03,-1.716278e-01,8.247306e+02,2.000000e+00,-3.070583e-15,3.000000e+00,2.000000e-01
-3.337500e-01,2.040155e+03,-1.716581e-01,8.248779e+02,2.000000e+00,-8.333733e-15,3.000000e+00,2.000000e-01
-3.312500e-01,2.040174e+03,-1.716849e-01,8.250178e+02,2.000000e+00,-2.177992e-14,3.000000e+00,2.000000e-01
-3.287500e-01,2.040185e+03,-1.716946e-01,8.250679e+02,2.000000e+00,-5.453351e-14,3.000000e+00,2.000000e-01
-3.262500e-01,2.040189e+03,-1.717028e-01,8.251106e+02,2.000000e+00,-1.331130e-13,3.000000e+00,2.000000e-01
-3.237500e-01,2.040192e+03,-1.717049e-01,8.251181e+02,2.000000e+00,-3.179927e-13,3.000000e+00,2.000000e-01
-3.212500e-01,2.040190e+03,-1.717057e-01,8.251249e+02,2.000000e+00,-7.474414e-13,3.000000e+00,2.000000e-01
-3.187500e-01,2.040191e+03,-1.717048e-01,8.251204e+02,2.000000e+00,-1.729310e-12,3.000000e+00,2.000000e-01
-3.162500e-01,2.040187e+03,-1.717013e-01,8.251020e+02,2.000000e+00,-3.944626e-12,3.000000e+00,2.000000e-01
-3.137500e-01,2.040185e+03,-1.716966e-01,8.250778e+02,2.000000e+00,-8.878444e-12,3.000000e+00,2.000000e-01
-3.112500e-01,2.040181e+03,-1.716926e-01,8.250605e+02,2.000000e+00,-1.973072e-11,3.000000e+00,2.000000e-01
-3.087500e-01,2.040180e+03,-1.716893e-01,8.250420e+02,2.000000e+00,-4.331184e-11,3.000000e+00,2.000000e-01
-3.062500e-01,2.040176e+03,-1.716864e-01,8.250269e+02,2.000000e+00,-9.394417e-11,3.000000e+00,2.000000e-01
-3.037500e-01,2.040175e+03,-1.716836e-01,8.250126e+02,2.000000e+00,-2.013905e-10,3.000000e+00,2.000000e-01
-3.012500e-01,2.040171e+03,-1.716811e-01,8.250008e+02,2.000000e+00,-4.267700e-10,3.000000e+00,2.000000e-01
-2.987500e-01,2.040169e+03,-1.716790e-01,8.249876e+02,2.000000e+00,-8.941136e-10,3.000000e+00,2.000000e-01
-2.962500e-01,2.040166e+03,-1.716770e-01,8.249761e+02,2.000000e+00,-1.852156e-09,3.000000e+00,2.000000e-01
-2.937500e-01,2.040164e+03,-1.716750e-01,8.249651e+02,2.000000e+00,-3.793834e-09,3.000000e+00,2.000000e-01
-2.912500e-01,2.040161e+03,-1.716733e-01,8.249551e+02,2.000000e+00,-7.684479e-09,3.000000e+00,2.000000e-01
-2.887500e-01,2.040159e+03,-1.716716e-01,8.249449e+02,2.000000e+00,-1.539207e-08,3.000000e+00,2.000000e-01
-2.862500e-01,2.040157e+03,-1.716700e-01,8.249356e+02,2.000000e+00,-3.048817e-08,3.000000e+00,2.000000e-01
-2.837500e-01,2.040156e+03,-1.716684e-01,8.249274e+02,2.000000e+00,-5.971953e-08,3.000000e+00,2.000000e-01
-2.812500e-01,2.040154e+03,-1.716667e-01,8.249200e+02,2.000000e+00,-1.156770e-07,3.000000e+00,2.000000e-01
-2.787500e-01,2.040152e+03,-1.716651e-01,8.249124e+02,2.000000e+00,-2.215722e-07,3.000001e+00,2.000000e-01
-2.762500e-01,2.040149e+03,-1.716636e-01,8.249048e+02,2.000001e+00,-4.196712e-07,3.000001e+00,2.000000e-01
-2.737500e-01,2.040147e+03,-1.716620e-01,8.248973e+02,2.000001e+00,-7.859869e-07,3.000002e+00,2.000000e-01
-2.712500e-01,2.040145e+03,-1.716604e-01,8.248898e+02,2.000002e+00,-1.455521e-06,3.000004e+00,2.000000e-01
-2.687500e-01,2.040142e+03,-1.716588e-01,8.248820e+02,2.000004e+00,-2.665031e-06,3.000008e+00,2.000000e-01
-2.662500e-01,2.040140e+03,-1.716572e-01,8.248737e+02,2.000007e+00,-4.824468e-06,3.000014e+00,2.000000e-01
-2.637500e-01,2.040137e+03,-1.716553e-01,8.248646e+02,2.000012e+00,-8.634605e-06,3.000025e+00,2.000000e-01
-2.612500e-01,2.040135e+03,-1.716535e-01,8.248555e+02,2.000021e+00,-1.527792e-05,3.000043e+00,2.000000e-01
-2.587500e-01,2.040132e+03,-1.716517e-01,8.248468e+02,2.000038e+00,-2.672373e-05,3.000076e+00,2.000000e-01
-2.562500e-01,2.040129e+03,-1.716500e-01,8.248383e+02,2.000065e+00,-4.620879e-05,3.000132e+00,2.000000e-01
-2.537500e-01,2.040127e+03,-1.716483e-01,8.248304e+02,2.000111e+00,-7.898231e-05,3.000225e+00,2.000000e-01
-2.512500e-01,2.040125e+03,-1.716468e-01,8.248229e+02,2.000188e+00,-1.334429e-04,3.000380e+00,2.000000e-01
-2.487500e-01,2.040122e+03,-1.716453e-01,8.248158e+02,2.000313e+00,-2.228445e-04,3.000634e+00,2.000000e-01
-2.462500e-01,2.040120e+03,-1.716439e-01,8.248092e+02,2.000517e+00,-3.678114e-04,3.001047e+00,2.000000e-01
